**********************************
LOGGING TIME: 20180907_175932
CLIENT IP: 10.102.59.17
USERNAME: Baba_Bradpitt
OS: Windows 10
*********************Neutral database**********************************
MC, 1, 1537598300347
MM, 2, 24, 7
MM, 12, 27, 8
MM, 41, 1, 16
MM, 6, 4, 8
MM, 16, 7, 7
MM, 20, 9, 10
MM, 20, 10, 103
MM, 20, 12, 56
MM, 17, 0, 184
MM, 16, 27, 16
MM, 13, 24, 8
MM, 13, 22, 8
MM, 11, 19, 9
MM, 11, 17, 8
MM, 11, 16, 8
MM, 11, 15, 7
MM, 11, 12, 9
MM, 11, 10, 7
MM, 11, 7, 8
MM, 11, 5, 8
MM, 11, 2, 9
MM, 11, 1, 8
MM, 11, 0, 7
MC, 1, 288
MM, 38, 1, 152
MM, 6, 11, 17
MM, 15, 19, 7
MM, 24, 27, 8
MM, 38, 2, 16
MM, 42, 7, 9
MM, 0, 16, 16
MM, 2, 18, 7
MM, 3, 19, 8
MM, 4, 21, 8
MM, 5, 21, 8
MM, 6, 22, 8
MM, 7, 24, 8
MM, 9, 28, 16
MM, 12, 31, 8
MM, 116, 2, 25
MM, 121, 6, 8
MM, 124, 9, 7
MM, 127, 13, 8
MM, 129, 16, 8
MM, 133, 19, 9
MM, 135, 22, 8
MM, 136, 25, 7
MM, 137, 26, 8
MM, 139, 28, 8
MM, 140, 30, 9
MM, 141, 30, 7
MM, 141, 31, 8
MM, 142, 31, 34
MM, 143, 32, 16
MM, 143, 33, 7
MM, 144, 34, 15
MM, 149, 27, 200
MM, 153, 20, 8
MM, 161, 9, 8
MM, 34, 22, 16
MM, 40, 13, 8
MM, 1, 27, 16
MM, 7, 16, 8
MM, 14, 2, 8
MM, 33, 29, 8
MM, 41, 18, 8
MP, 1, 488
MR, 1, 88
MM, 14, 4, 8
MM, 12, 6, 8
MM, 7, 11, 8
MM, 3, 18, 8
MM, 2, 19, 9
MM, 0, 22, 8
MM, 22, 2, 41
MM, 20, 4, 7
MM, 18, 5, 9
MM, 16, 7, 7
MM, 15, 9, 7
MM, 14, 10, 8
MM, 12, 12, 8
MM, 11, 13, 8
MM, 10, 14, 8
MM, 8, 18, 8
MM, 6, 20, 8
MM, 4, 22, 9
MM, 3, 23, 7
MM, 2, 24, 16
MM, 1, 25, 8
MM, 43, 30, 48
MM, 42, 31, 16
MM, 1, 24, 98
MM, 5, 18, 7
MM, 7, 16, 9
MM, 12, 11, 7
MM, 14, 9, 8
MM, 18, 5, 9
MM, 43, 31, 31
MM, 1, 19, 64
MM, 2, 18, 8
MM, 3, 17, 8
MM, 6, 14, 7
MM, 6, 13, 17
MM, 7, 12, 8
MM, 8, 11, 24
MM, 9, 11, 9
MM, 11, 10, 7
MM, 12, 9, 16
MM, 13, 6, 8
MM, 11, 6, 176
MM, 10, 7, 8
MM, 9, 7, 8
MM, 9, 8, 8
MC, 1, 143
MM, 7, 11, 48
MM, 6, 15, 8
MM, 4, 19, 8
MM, 4, 21, 8
MM, 0, 26, 9
MM, 24, 3, 23
MM, 16, 12, 8
MM, 11, 17, 9
MM, 3, 25, 7
MM, 43, 3, 24
MM, 39, 8, 8
MM, 34, 13, 8
MM, 32, 15, 7
MM, 28, 19, 10
MM, 23, 20, 7
MM, 23, 21, 8
MM, 19, 22, 8
MM, 18, 22, 9
MM, 15, 23, 7
MC, 1, 192
MM, 14, 24, 57
MM, 14, 26, 7
MM, 14, 28, 9
MM, 14, 29, 7
MM, 151, 3, 40
MM, 148, 8, 7
MM, 144, 14, 9
MM, 141, 17, 9
MM, 140, 22, 8
MM, 137, 25, 8
MM, 136, 27, 8
MC, 1, 167
MM, 135, 27, 24
MM, 134, 23, 9
MM, 134, 17, 8
MM, 134, 9, 7
MM, 132, 0, 9
MM, 39, 28, 16
MM, 38, 22, 7
MM, 35, 13, 8
MM, 32, 6, 9
MM, 27, 31, 15
MM, 24, 26, 9
MM, 22, 22, 8
MM, 21, 20, 8
MM, 21, 17, 8
MM, 21, 16, 8
MM, 21, 15, 8
MM, 21, 13, 7
MM, 21, 12, 9
MM, 21, 10, 16
MM, 22, 8, 16
MM, 23, 7, 8
MM, 23, 6, 8
MM, 25, 4, 8
MM, 26, 3, 8
MM, 27, 1, 8
MC, 1, 471
